DateTime,Vehicles,AQI,CO2 Emissions (g/km),NOx Emissions (mg/km),PM2.5 Concentration (µg/m³),Pollution Category,Temperature (°C),Humidity (%),Wind Speed (km/h),Atmospheric Pressure (hPa),Area
06-11-2015 15:00,23,285,161,194,33.09,Very Unhealthy,21,67,26.99,1010.48,Kukatpally
06-11-2015 16:00,19,185,235,430,137.54,Unhealthy,23,87,9.64,1047.33,SR Nagar
06-11-2015 17:00,19,265,98,299,32.64,Very Unhealthy,38,67,2.82,1036.68,Miyapur
06-11-2015 18:00,20,112,148,259,81.67,Unhealthy for Sensitive Groups,15,64,19.38,1019.65,SR Nagar
06-11-2015 19:00,24,188,211,89,114.55,Unhealthy,26,52,28.41,1034.82,Ameerpet
06-11-2015 20:00,18,292,335,328,111.0,Very Unhealthy,22,23,15.24,1038.97,Kukatpally
06-11-2015 21:00,19,130,288,382,9.27,Unhealthy for Sensitive Groups,38,66,13.73,1044.2,Ameerpet
06-11-2015 22:00,16,185,89,141,34.35,Unhealthy,45,72,25.92,985.6,SR Nagar
06-11-2015 23:00,17,212,219,447,133.83,Very Unhealthy,25,50,12.74,1036.08,Miyapur
07-11-2015 00:00,16,212,214,376,85.21,Very Unhealthy,33,50,20.43,992.87,Kukatpally
07-11-2015 01:00,16,82,334,243,104.65,Moderate,31,46,11.66,1044.13,Gachibowli
07-11-2015 02:00,10,172,379,319,63.33,Unhealthy,22,67,11.31,993.15,SR Nagar
07-11-2015 03:00,9,54,337,15,113.05,Moderate,17,55,5.63,992.05,Gachibowli
07-11-2015 04:00,8,283,173,400,46.92,Very Unhealthy,17,68,2.65,1014.57,Kukatpally
07-11-2015 05:00,7,280,320,299,38.64,Very Unhealthy,15,50,26.55,1040.01,Kukatpally
07-11-2015 06:00,9,299,316,77,149.58,Very Unhealthy,41,63,5.44,986.14,Kukatpally
07-11-2015 07:00,8,90,244,408,27.86,Moderate,19,78,1.87,984.19,Gachibowli
07-11-2015 08:00,12,77,227,22,147.3,Moderate,24,42,17.47,1033.55,Gachibowli
07-11-2015 09:00,13,184,297,210,139.34,Unhealthy,21,87,16.38,1038.77,Ameerpet
07-11-2015 10:00,17,250,187,302,108.63,Very Unhealthy,40,61,17.03,1011.98,Miyapur
07-11-2015 11:00,14,121,310,474,89.39,Unhealthy for Sensitive Groups,23,61,14.04,1025.31,Ameerpet
07-11-2015 12:00,14,61,149,431,5.66,Moderate,42,32,4.26,989.05,Gachibowli
07-11-2015 13:00,14,211,300,215,97.12,Very Unhealthy,21,20,0.63,1021.76,Miyapur
07-11-2015 14:00,14,82,153,238,117.0,Moderate,23,72,1.39,980.76,Gachibowli
07-11-2015 15:00,11,97,258,424,111.27,Moderate,22,59,28.29,1001.13,Banjara Hills
07-11-2015 16:00,15,296,159,459,29.95,Very Unhealthy,26,65,15.96,981.5,Miyapur
07-11-2015 17:00,13,200,238,375,83.96,Unhealthy,16,41,11.99,999.0,Ameerpet
07-11-2015 18:00,12,111,248,476,84.78,Unhealthy for Sensitive Groups,15,71,12.32,981.59,Ameerpet
07-11-2015 19:00,17,265,393,220,99.67,Very Unhealthy,30,47,19.57,1045.85,Miyapur
07-11-2015 20:00,18,86,240,325,125.49,Moderate,37,72,11.3,1041.81,Banjara Hills
07-11-2015 21:00,17,148,111,278,106.24,Unhealthy for Sensitive Groups,37,82,23.89,994.4,SR Nagar
07-11-2015 22:00,16,221,200,414,25.49,Very Unhealthy,44,36,7.8,1044.2,Kukatpally
07-11-2015 23:00,15,153,294,104,7.76,Unhealthy,38,83,11.02,1042.71,SR Nagar
08-11-2015 00:00,13,263,82,181,24.8,Very Unhealthy,19,25,28.05,995.29,Kukatpally
08-11-2015 01:00,16,268,307,293,10.84,Very Unhealthy,17,33,7.81,1027.1,Kukatpally
08-11-2015 02:00,11,84,127,450,68.33,Moderate,26,36,19.85,993.09,Banjara Hills
08-11-2015 03:00,8,242,246,138,46.14,Very Unhealthy,22,57,10.94,1027.72,Kukatpally
08-11-2015 04:00,10,276,90,492,6.06,Very Unhealthy,36,88,14.14,984.46,Kukatpally
08-11-2015 05:00,10,150,317,403,16.64,Unhealthy for Sensitive Groups,41,32,1.36,1040.16,Ameerpet
08-11-2015 06:00,10,224,357,17,62.64,Very Unhealthy,17,72,5.02,1037.75,Kukatpally
08-11-2015 07:00,9,255,320,470,141.27,Very Unhealthy,15,28,3.06,992.03,Kukatpally
08-11-2015 08:00,11,180,271,456,149.25,Unhealthy,17,63,25.34,1010.8,Ameerpet
08-11-2015 09:00,12,50,91,476,12.27,Good,19,45,28.85,997.8,Banjara Hills
08-11-2015 10:00,18,54,132,332,125.43,Moderate,29,38,2.04,988.63,Banjara Hills
08-11-2015 11:00,14,267,134,385,74.64,Very Unhealthy,28,67,2.31,980.93,Miyapur
08-11-2015 12:00,17,296,388,259,95.05,Very Unhealthy,17,49,16.57,1001.19,Kukatpally
08-11-2015 13:00,14,191,100,76,78.37,Unhealthy,15,51,15.12,1045.71,Ameerpet
08-11-2015 14:00,14,152,98,420,139.05,Unhealthy,19,88,19.52,1042.17,Ameerpet
08-11-2015 15:00,14,76,394,283,74.38,Moderate,40,30,22.1,1010.41,Gachibowli
08-11-2015 16:00,12,186,138,44,29.36,Unhealthy,37,45,23.92,1000.2,Ameerpet
08-11-2015 17:00,14,256,230,390,118.08,Very Unhealthy,45,45,4.47,1001.54,Miyapur
08-11-2015 18:00,18,64,338,309,79.5,Moderate,28,36,1.14,1029.44,Banjara Hills
08-11-2015 19:00,13,139,137,107,21.97,Unhealthy for Sensitive Groups,21,63,26.67,998.62,Ameerpet
08-11-2015 20:00,16,91,295,487,71.93,Moderate,41,42,14.09,1037.81,Banjara Hills
08-11-2015 21:00,18,173,141,401,104.67,Unhealthy,23,44,29.14,1005.13,Ameerpet
08-11-2015 22:00,14,254,225,136,47.9,Very Unhealthy,29,56,15.98,984.72,Kukatpally
08-11-2015 23:00,14,228,318,94,137.24,Very Unhealthy,29,84,15.3,988.52,Miyapur
09-11-2015 00:00,13,112,372,439,128.24,Unhealthy for Sensitive Groups,40,21,18.69,1033.96,SR Nagar
09-11-2015 01:00,15,145,261,220,87.34,Unhealthy for Sensitive Groups,24,51,5.1,1033.95,Ameerpet
09-11-2015 02:00,11,280,174,52,12.88,Very Unhealthy,42,74,7.62,1007.8,Miyapur
09-11-2015 03:00,10,290,157,249,89.57,Very Unhealthy,27,69,27.17,1049.67,Miyapur
09-11-2015 04:00,9,101,221,311,65.26,Unhealthy for Sensitive Groups,33,84,6.37,995.35,SR Nagar
09-11-2015 05:00,8,145,184,49,109.99,Unhealthy for Sensitive Groups,45,51,6.99,993.74,Ameerpet
09-11-2015 06:00,8,181,340,231,43.72,Unhealthy,21,56,15.3,1016.9,Ameerpet
09-11-2015 07:00,10,271,174,321,92.84,Very Unhealthy,31,32,19.23,1018.87,Miyapur
09-11-2015 08:00,11,278,302,164,85.39,Very Unhealthy,34,73,0.03,1009.35,Miyapur
09-11-2015 09:00,17,200,269,157,81.39,Unhealthy,43,22,13.7,1020.34,Ameerpet
09-11-2015 10:00,19,280,208,215,21.81,Very Unhealthy,18,61,11.97,1042.54,Kukatpally
09-11-2015 11:00,22,286,398,322,76.03,Very Unhealthy,44,59,25.97,1012.56,Miyapur
09-11-2015 12:00,23,192,274,21,84.84,Unhealthy,19,85,25.19,1049.73,SR Nagar
09-11-2015 13:00,23,220,99,250,139.51,Very Unhealthy,37,79,27.18,1046.38,Kukatpally
09-11-2015 14:00,24,78,378,32,71.83,Moderate,21,30,25.26,1029.4,Banjara Hills
09-11-2015 15:00,24,85,319,21,97.78,Moderate,27,20,23.6,1029.32,Gachibowli
09-11-2015 16:00,19,62,314,126,87.54,Moderate,29,45,25.77,1030.78,Banjara Hills
09-11-2015 17:00,19,209,164,117,33.31,Very Unhealthy,25,61,5.24,1040.3,Miyapur
09-11-2015 18:00,20,120,173,181,31.74,Unhealthy for Sensitive Groups,43,81,10.23,1038.11,Ameerpet
09-11-2015 19:00,31,236,121,48,112.21,Very Unhealthy,18,80,20.51,1030.36,Miyapur
09-11-2015 20:00,25,292,153,51,80.84,Very Unhealthy,27,81,27.69,1037.12,Kukatpally
09-11-2015 21:00,35,135,194,231,134.92,Unhealthy for Sensitive Groups,21,31,20.01,1010.11,SR Nagar
09-11-2015 22:00,21,77,269,57,136.68,Moderate,41,46,6.24,1014.85,Gachibowli
09-11-2015 23:00,24,115,204,356,48.08,Unhealthy for Sensitive Groups,33,86,28.34,1042.64,SR Nagar
10-11-2015 00:00,19,219,85,353,19.72,Very Unhealthy,36,47,22.81,986.42,Miyapur
10-11-2015 01:00,19,94,121,332,54.89,Moderate,42,85,21.5,1034.31,Banjara Hills
10-11-2015 02:00,18,111,137,487,14.72,Unhealthy for Sensitive Groups,16,47,22.88,1027.0,Ameerpet
10-11-2015 03:00,17,234,89,44,118.28,Very Unhealthy,24,40,19.77,990.4,Miyapur
10-11-2015 04:00,12,294,168,265,26.2,Very Unhealthy,27,26,0.66,1009.21,Kukatpally
10-11-2015 05:00,10,183,190,362,130.62,Unhealthy,44,33,7.61,1030.97,Ameerpet
10-11-2015 06:00,14,77,118,302,65.22,Moderate,39,58,28.7,1030.71,Banjara Hills
10-11-2015 07:00,15,77,246,433,45.4,Moderate,35,81,8.66,1028.37,Banjara Hills
10-11-2015 08:00,14,157,90,281,77.72,Unhealthy,20,31,23.15,990.91,Ameerpet
10-11-2015 09:00,34,93,189,441,92.79,Moderate,42,57,12.73,1034.43,Gachibowli
10-11-2015 10:00,40,133,95,27,106.72,Unhealthy for Sensitive Groups,42,77,27.23,989.24,Ameerpet
10-11-2015 11:00,38,79,112,411,54.04,Moderate,26,75,16.73,1048.66,Banjara Hills
10-11-2015 12:00,36,239,312,407,147.53,Very Unhealthy,26,58,18.96,990.85,Miyapur
10-11-2015 13:00,27,124,267,233,66.23,Unhealthy for Sensitive Groups,34,23,7.19,1021.52,Ameerpet
10-11-2015 14:00,48,177,303,136,126.0,Unhealthy,44,67,1.73,1034.27,SR Nagar
10-11-2015 15:00,43,299,138,341,10.06,Very Unhealthy,44,26,22.7,980.52,Miyapur
10-11-2015 16:00,41,296,130,307,117.8,Very Unhealthy,25,79,2.03,1030.4,Miyapur
10-11-2015 17:00,35,141,350,11,84.94,Unhealthy for Sensitive Groups,40,59,21.65,995.69,SR Nagar
10-11-2015 18:00,40,266,122,62,97.75,Very Unhealthy,37,27,16.66,992.65,Kukatpally
10-11-2015 19:00,40,280,106,227,59.07,Very Unhealthy,42,77,24.6,985.2,Kukatpally
10-11-2015 20:00,40,239,135,480,84.0,Very Unhealthy,39,76,6.17,993.38,Miyapur
10-11-2015 21:00,36,274,200,69,140.17,Very Unhealthy,21,54,16.25,1022.69,Miyapur
10-11-2015 22:00,37,178,192,44,60.98,Unhealthy,44,32,18.43,1049.94,SR Nagar
10-11-2015 23:00,35,170,395,457,20.34,Unhealthy,15,58,2.23,1019.73,SR Nagar
11-11-2015 00:00,28,76,194,170,109.47,Moderate,15,40,22.17,1022.33,Banjara Hills
11-11-2015 01:00,25,239,188,306,78.25,Very Unhealthy,39,66,11.67,1007.25,Miyapur
11-11-2015 02:00,19,170,254,200,66.62,Unhealthy,41,21,3.87,982.63,Ameerpet
11-11-2015 03:00,21,165,191,354,117.78,Unhealthy,44,63,11.61,1031.22,Ameerpet
11-11-2015 04:00,20,254,179,269,86.52,Very Unhealthy,39,49,2.95,985.48,Kukatpally
11-11-2015 05:00,15,282,87,286,96.55,Very Unhealthy,34,74,26.64,1030.33,Kukatpally
11-11-2015 06:00,17,52,214,121,139.28,Moderate,27,59,13.7,1038.41,Banjara Hills
11-11-2015 07:00,14,152,330,141,13.48,Unhealthy,23,43,4.14,995.66,SR Nagar
11-11-2015 08:00,19,247,319,104,43.05,Very Unhealthy,17,61,7.56,1034.3,Miyapur
11-11-2015 09:00,22,249,301,321,135.24,Very Unhealthy,21,47,21.74,1043.85,Kukatpally
11-11-2015 10:00,30,204,224,250,119.95,Very Unhealthy,20,70,23.58,1019.03,Miyapur
11-11-2015 11:00,26,186,83,472,32.35,Unhealthy,22,41,1.24,1009.91,Ameerpet
11-11-2015 12:00,26,111,361,269,29.52,Unhealthy for Sensitive Groups,41,27,1.8,1018.6,Ameerpet
11-11-2015 13:00,23,214,276,141,124.64,Very Unhealthy,23,33,27.52,1036.38,Kukatpally
11-11-2015 14:00,23,274,207,245,85.17,Very Unhealthy,44,64,9.93,1023.16,Miyapur
11-11-2015 15:00,24,100,340,268,129.75,Moderate,19,57,5.8,1019.49,Banjara Hills
11-11-2015 16:00,22,283,170,253,138.06,Very Unhealthy,15,51,3.69,1008.39,Miyapur
11-11-2015 17:00,24,221,338,64,15.08,Very Unhealthy,33,81,14.28,981.81,Miyapur
11-11-2015 18:00,26,201,173,206,145.62,Very Unhealthy,24,86,23.13,990.3,Miyapur
11-11-2015 19:00,27,256,336,92,108.89,Very Unhealthy,26,80,15.63,1015.85,Miyapur
11-11-2015 20:00,22,108,215,367,126.0,Unhealthy for Sensitive Groups,38,32,0.62,1025.21,Ameerpet
11-11-2015 21:00,23,167,92,297,96.4,Unhealthy,29,66,14.52,992.55,SR Nagar
11-11-2015 22:00,22,209,277,389,49.25,Very Unhealthy,41,73,9.35,1027.54,Miyapur
11-11-2015 23:00,22,145,257,323,91.92,Unhealthy for Sensitive Groups,36,90,20.49,1016.65,SR Nagar
12-11-2015 00:00,22,265,191,466,79.8,Very Unhealthy,38,71,15.71,1026.92,Kukatpally
12-11-2015 01:00,17,282,343,460,140.15,Very Unhealthy,23,44,28.96,1016.91,Miyapur
